match_id,timestamp,player_champion,opponent_champion,total_cs,opponent_total_cs,cs_per_min,gold_diff,first_10_min_cs,opponent_first_10_min_cs,win,player_cs_timeline,opponent_cs_timeline
EUW1_7314658852,2025-02-21T22:51:03.393000,Pantheon,Ambessa,176,214,3.700070077084793,1772,43,60,True,"0,0,3,9,13,16,27,29,35,43,43,45,53,64,64","0,0,1,9,11,21,28,38,45,50,60,62,69,71,77"
EUW1_7314658852,2025-02-21T22:51:03.393000,Ambessa,Pantheon,214,176,4.4989488437281,-1772,60,43,False,"0,0,1,9,11,21,28,38,45,50,60,62,69,71,77","0,0,3,9,13,16,27,29,35,43,43,45,53,64,64"
EUW1_7314068141,2025-02-21T15:10:02.406000,Urgot,DrMundo,188,203,5.028979045920642,2591,52,67,True,"0,0,0,9,18,23,37,38,38,44,52,58,66,71,76","0,0,0,10,14,29,34,42,42,59,67,74,78,85,85"
EUW1_7314068141,2025-02-21T15:10:02.406000,DrMundo,Urgot,203,188,5.430227374052608,-2591,67,52,False,"0,0,0,10,14,29,34,42,42,59,67,74,78,85,85","0,0,0,9,18,23,37,38,38,44,52,58,66,71,76"
EUW1_7304986227,2025-02-13T17:05:08.681000,Ambessa,Garen,134,142,5.986597170513775,-2343,63,54,False,"0,0,2,10,16,24,29,36,45,53,63,68,77,78,91","0,0,4,15,21,26,28,31,45,48,54,60,69,80,87"
EUW1_7304986227,2025-02-13T17:05:08.681000,Garen,Ambessa,142,134,6.344005956813105,2343,54,63,True,"0,0,4,15,21,26,28,31,45,48,54,60,69,80,87","0,0,2,10,16,24,29,36,45,53,63,68,77,78,91"
EUW1_7303907252,2025-02-12T17:24:49.189000,Garen,Ambessa,149,179,5.846958796599084,2304,54,83,True,"0,0,3,9,15,20,20,33,43,43,54,68,75,80,86","0,0,4,14,25,31,45,57,61,73,83,89,99,99,112"
EUW1_7303907252,2025-02-12T17:24:49.189000,Ambessa,Garen,179,149,7.024198822759973,-2304,83,54,False,"0,0,4,14,25,31,45,57,61,73,83,89,99,99,112","0,0,3,9,15,20,20,33,43,43,54,68,75,80,86"
EUW1_7303809611,2025-02-12T15:42:44.691000,Ambessa,TahmKench,109,79,6.957446808510639,1707,81,44,True,"0,0,2,15,22,29,42,51,59,68,81,87,93,93,100","0,0,3,9,14,16,21,24,30,38,44,50,53,58,63"
EUW1_7303809611,2025-02-12T15:42:44.691000,TahmKench,Ambessa,79,109,5.042553191489362,-1707,44,81,False,"0,0,3,9,14,16,21,24,30,38,44,50,53,58,63","0,0,2,15,22,29,42,51,59,68,81,87,93,93,100"
