video_timestamp,gold,minions,Q,W,E,R,frame_path
00:00:00.0,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_0
00:00:00.9,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_28
00:00:01.9,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_56
00:00:02.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_84
00:00:03.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_112
00:00:04.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_140
00:00:05.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_168
00:00:06.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_196
00:00:07.8,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_224
00:00:08.7,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_252
00:00:09.7,0500,000,Ready,Ready,Ready,Ready,extracted_frames\frame_280
00:00:10.7,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_308
00:00:11.7,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_336
00:00:12.7,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_364
00:00:13.7,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_392
00:00:14.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_420
00:00:15.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_448
00:00:16.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_476
00:00:17.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_504
00:00:18.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_532
00:00:19.6,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_560
00:00:20.5,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_588
00:00:21.5,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_616
00:00:22.5,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_644
00:00:23.5,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_672
00:00:24.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_700
00:00:25.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_728
00:00:26.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_756
00:00:27.4,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_784
00:00:28.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_812
00:00:29.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_840
00:00:30.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_868
00:00:31.3,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_896
00:00:32.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_924
00:00:33.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_952
00:00:34.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_980
00:00:35.2,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_1008
00:00:36.1,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_1036
00:00:37.1,0000,000,Ready,Ready,Ready,Ready,extracted_frames\frame_1064
