video_timestamp,gold,minions,Q,W,E,R,frame_path
00:00:00.000,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_0
00:00:00.920,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_32
00:00:01.960,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_64
00:00:02.961,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_96
00:00:03.934,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_128
00:00:04.921,0500,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_160
00:00:05.935,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_192
00:00:06.949,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_224
00:00:07.922,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_256
00:00:08.923,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_288
00:00:09.910,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_320
00:00:10.937,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_352
00:00:11.910,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_384
00:00:12.884,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_416
00:00:13.871,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_448
00:00:14.872,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_480
00:00:15.845,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_512
00:00:16.832,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_544
00:00:17.819,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_576
00:00:18.833,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_608
00:00:19.847,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_640
00:00:20.834,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_672
00:00:21.821,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_704
00:00:22.808,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_736
00:00:23.821,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_768
00:00:24.808,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_800
00:00:25.782,0000,000,Ready,Ready,Ready,Ready,extracted_frames_MR\frame_832
