video_timestamp,gold,minions,Q,W,E,R,frame_path
00:00:00.000,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_0
00:00:00.933,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_32
00:00:01.907,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_64
00:00:02.894,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_96
00:00:03.921,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_128
00:00:04.961,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_160
00:00:05.948,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_192
00:00:06.949,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_224
00:00:07.962,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_256
00:00:08.963,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_288
00:00:09.990,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_320
00:00:11.084,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_352
00:00:12.111,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_384
00:00:13.138,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_416
00:00:14.125,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_448
00:00:15.112,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_480
00:00:16.099,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_512
00:00:17.099,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_544
00:00:18.099,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_576
00:00:19.086,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_608
00:00:20.087,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_640
00:00:21.087,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_672
00:00:22.061,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_704
00:00:23.048,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_736
00:00:24.048,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_768
00:00:25.035,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_800
00:00:26.036,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_832
00:00:27.009,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_864
00:00:28.010,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_896
00:00:29.023,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_928
00:00:29.984,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_960
00:00:30.997,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_992
00:00:32.024,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1024
00:00:33.025,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1056
00:00:34.012,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1088
00:00:34.999,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1120
00:00:35.999,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1152
00:00:37.013,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1184
00:00:38.053,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1216
00:00:39.027,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1248
00:00:40.067,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1280
00:00:41.041,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1312
00:00:42.041,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1344
00:00:43.055,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1376
00:00:44.029,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1408
00:00:45.043,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1440
00:00:46.083,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1472
00:00:47.083,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1504
00:00:48.070,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1536
00:00:49.057,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1568
00:00:50.058,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1600
00:00:51.045,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1632
00:00:52.072,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1664
00:00:53.059,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1696
00:00:54.072,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1728
00:00:55.059,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1760
00:00:56.073,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1792
00:00:57.033,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1824
00:00:58.047,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1856
00:00:59.048,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1888
00:01:00.048,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1920
00:01:01.062,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1952
00:01:02.035,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_1984
00:01:03.022,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2016
00:01:04.009,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2048
00:01:05.010,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2080
00:01:06.023,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2112
00:01:07.024,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2144
00:01:08.011,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2176
00:01:08.998,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2208
00:01:10.012,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2240
00:01:10.999,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2272
00:01:11.999,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2304
00:01:12.986,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2336
00:01:13.973,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2368
00:01:14.947,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2400
00:01:15.947,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2432
00:01:16.947,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2464
00:01:17.934,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2496
00:01:18.921,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2528
00:01:19.908,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2560
00:01:20.949,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2592
00:01:21.896,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2624
00:01:22.909,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2656
00:01:23.963,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2688
00:01:24.977,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2720
00:01:25.991,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2752
00:01:26.978,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2784
00:01:27.965,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2816
00:01:28.952,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2848
00:01:29.965,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2880
00:01:30.979,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2912
00:01:31.939,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2944
00:01:32.940,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_2976
00:01:33.927,0001,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3008
00:01:34.914,0003,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3040
00:01:35.914,0005,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3072
00:01:36.888,0007,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3104
00:01:37.888,0009,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3136
00:01:38.875,0011,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3168
00:01:39.862,0013,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3200
00:01:40.823,0015,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3232
00:01:41.823,0017,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3264
00:01:42.770,0019,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3296
00:01:43.770,0021,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3328
00:01:44.784,0023,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3360
00:01:45.771,0025,000,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3392
00:01:46.758,0048,001,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3424
00:01:47.745,0050,001,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3456
00:01:48.786,0052,001,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3488
00:01:49.773,0075,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3520
00:01:50.746,0077,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3552
00:01:51.707,0079,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3584
00:01:52.680,0000,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3616
00:01:53.654,0082,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3648
00:01:54.654,0084,002,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3680
00:01:55.655,0107,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3712
00:01:56.642,0109,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3744
00:01:57.602,0111,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3776
00:01:58.602,0113,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3808
00:01:59.616,0116,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3840
00:02:00.590,0118,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3872
00:02:01.657,0120,003,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3904
00:02:02.724,0136,004,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3936
00:02:03.711,0160,005,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_3968
00:02:04.725,0161,005,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4000
00:02:05.712,0177,006,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4032
00:02:06.712,0179,006,CD,Ready,Ready,Ready,extracted_frames_RM\frame_4064
00:02:07.752,0182,006,CD,Ready,Ready,Ready,extracted_frames_RM\frame_4096
00:02:08.779,0184,006,5,Ready,Ready,Ready,extracted_frames_RM\frame_4128
00:02:09.820,0186,006,4,Ready,Ready,Ready,extracted_frames_RM\frame_4160
00:02:10.887,0188,006,3,Ready,Ready,Ready,extracted_frames_RM\frame_4192
00:02:11.994,0000,006,2,Ready,Ready,Ready,extracted_frames_RM\frame_4224
00:02:13.101,0213,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4256
00:02:14.088,0215,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4288
00:02:15.062,0217,007,CD,Ready,Ready,Ready,extracted_frames_RM\frame_4320
00:02:16.129,0219,007,5,Ready,Ready,Ready,extracted_frames_RM\frame_4352
00:02:17.089,0221,007,5,Ready,Ready,Ready,extracted_frames_RM\frame_4384
00:02:18.103,0223,007,4,Ready,Ready,Ready,extracted_frames_RM\frame_4416
00:02:19.183,0225,007,2,Ready,Ready,Ready,extracted_frames_RM\frame_4448
00:02:20.210,0227,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4480
00:02:21.251,0229,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4512
00:02:22.344,0532,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4544
00:02:23.331,0555,007,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4576
00:02:24.425,0571,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4608
00:02:25.359,0573,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4640
00:02:26.346,0575,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4672
00:02:27.266,0577,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4704
00:02:28.200,0579,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4736
00:02:29.187,0581,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4768
00:02:30.201,0583,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4800
00:02:31.201,0585,008,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4832
00:02:32.375,0601,009,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4864
00:02:33.348,0603,009,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4896
00:02:34.255,0605,009,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_4928
00:02:35.269,0607,009,CD,Ready,Ready,Ready,extracted_frames_RM\frame_4960
00:02:36.229,0630,010,CD,Ready,Ready,Ready,extracted_frames_RM\frame_4992
00:02:37.136,0631,010,6,Ready,Ready,Ready,extracted_frames_RM\frame_5024
00:02:38.097,0633,010,5,Ready,Ready,Ready,extracted_frames_RM\frame_5056
00:02:39.057,0649,011,4,Ready,Ready,Ready,extracted_frames_RM\frame_5088
00:02:40.071,0665,012,3,Ready,Ready,Ready,extracted_frames_RM\frame_5120
00:02:41.071,0667,012,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_5152
00:02:42.085,0669,012,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_5184
00:02:43.099,0671,012,Ready,Ready,Ready,Ready,extracted_frames_RM\frame_5216
