video_timestamp,gold,minions,Q,W,E,R,frame_path
00:00:00.000,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_0
00:00:00.987,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_32
00:00:02.014,0500,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_64
00:00:03.001,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_96
00:00:04.001,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_128
00:00:04.988,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_160
00:00:06.002,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_192
00:00:06.989,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_224
00:00:08.002,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_256
00:00:08.989,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_288
00:00:09.990,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_320
00:00:10.964,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_352
00:00:11.977,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_384
00:00:13.004,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_416
00:00:14.005,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_448
00:00:15.032,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_480
00:00:16.032,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_512
00:00:17.086,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_544
00:00:18.073,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_576
00:00:19.086,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_608
00:00:20.060,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_640
00:00:21.047,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_672
00:00:22.048,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_704
00:00:23.021,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_736
00:00:24.035,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_768
00:00:25.022,0000,000,Ready,Ready,Ready,Ready,extracted_frames_RR\frame_800
