epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.915,0.26945,0.96171,1.01395,0.99985,0.99713,0.995,0.99159,0.27509,1.04503,0.41494,0.000659004,0.000659004,0.000659004
2,630.782,0.1881,0.43375,0.94031,0.99981,0.99713,0.995,0.88552,0.41811,1.20767,0.50709,0.00131255,0.00131255,0.00131255
3,921.024,0.17475,0.33826,0.92908,0.99975,0.99713,0.995,0.98546,0.42642,0.71176,0.50522,0.00195289,0.00195289,0.00195289
4,1221.7,0.16476,0.29172,0.92556,0.99958,0.99713,0.995,0.99445,0.26571,0.49199,0.36368,0.0019406,0.0019406,0.0019406
5,1517.58,0.15645,0.25971,0.91559,0.73647,0.96275,0.93497,0.7841,0.59072,1.27533,0.70607,0.0019208,0.0019208,0.0019208
6,1818.29,0.14547,0.23029,0.91023,0.99985,0.99713,0.995,0.99473,0.17082,0.31396,0.2878,0.001901,0.001901,0.001901
7,2120.79,0.13858,0.21032,0.91226,0.99974,0.99713,0.995,0.995,0.22236,0.39312,0.37975,0.0018812,0.0018812,0.0018812
8,2413.96,0.13592,0.20187,0.91283,0.99981,0.99713,0.995,0.99499,0.26551,0.28641,0.38919,0.0018614,0.0018614,0.0018614
9,2705.87,0.1227,0.18097,0.90698,0.99984,0.99713,0.995,0.99474,0.23205,0.44811,0.32276,0.0018416,0.0018416,0.0018416
10,3000.67,0.11158,0.17282,0.90317,0.99984,0.99713,0.995,0.99482,0.25858,0.27035,0.39481,0.0018218,0.0018218,0.0018218
11,3291.32,0.10649,0.16306,0.90203,0.99985,0.99713,0.995,0.99452,0.19442,0.4116,0.27877,0.001802,0.001802,0.001802
12,3583.66,0.10246,0.15712,0.90262,0.99985,0.99713,0.995,0.99485,0.16444,0.2639,0.24938,0.0017822,0.0017822,0.0017822
13,3874.63,0.10278,0.1575,0.90498,0.99985,0.99713,0.995,0.99499,0.2616,0.26376,0.33068,0.0017624,0.0017624,0.0017624
14,4165.94,0.09843,0.14631,0.89876,0.9996,0.99713,0.995,0.99472,0.20167,0.37238,0.2914,0.0017426,0.0017426,0.0017426
15,4450.78,0.10016,0.14787,0.90287,0.99985,0.99713,0.995,0.9948,0.18312,0.35998,0.28554,0.0017228,0.0017228,0.0017228
16,4740.32,0.09308,0.1469,0.89859,0.99985,0.99713,0.995,0.99478,0.18696,0.31934,0.26727,0.001703,0.001703,0.001703
17,5025.68,0.0848,0.13053,0.89644,0.99985,0.99713,0.995,0.9949,0.17007,0.25004,0.2405,0.0016832,0.0016832,0.0016832
18,5313.21,0.08743,0.13511,0.89595,0.99985,0.99713,0.995,0.99498,0.20974,0.51397,0.29623,0.0016634,0.0016634,0.0016634
19,5594.71,0.08463,0.12706,0.89548,0.99985,0.99713,0.995,0.99479,0.17224,0.38682,0.27494,0.0016436,0.0016436,0.0016436
20,5877.05,0.08226,0.12805,0.90014,0.99985,0.99713,0.995,0.99472,0.1851,0.47526,0.27496,0.0016238,0.0016238,0.0016238
21,6161.1,0.0787,0.12092,0.89048,0.99985,0.99713,0.995,0.99487,0.16712,0.75843,0.22984,0.001604,0.001604,0.001604
